Management Pathway,Generation,Recycled,Composted,Combustion with Energy Recovery,Landfilled
1960,390,0,0,0,390
1970,2900,0,0,0,2900
1980,6830,20,0,140,6670
1990,17130,370,0,2980,13780
2000,25550,1480,0,4120,19950
2005,29380,1780,0,4330,23270
2010,31400,2500,0,4530,24370
2015,34500,3140,0,5350,26010
